Time,Distance,LTE_UE_RSRP,LTE_UE_SINR,LTE_UE_Power_Tx
'Jan/24/23 17.47.22',7.092098,-80.3,22.59,-0.51
'Jan/24/23 17.47.23',17.526473,-77.19,23.8,-6.35
'Jan/24/23 17.47.24',27.435061,-78.82,23.08,-3.46
'Jan/24/23 17.47.25',33.58735,-78.65,24.26,-2.23
'Jan/24/23 17.47.26',47.165707,-78.82,23.85,-4.33
'Jan/24/23 17.47.27',62.873549,-78.1,23.45,-1.71
'Jan/24/23 17.47.28',81.142037,-79.68,23.52,4.05
'Jan/24/23 17.47.29',98.809296,-79.74,22.09,2.65
'Jan/24/23 17.47.30',110.540293,-81.38,20.19,-0.35
'Jan/24/23 17.47.31',125.127057,-76.75,21.31,6.85
'Jan/24/23 17.47.32',140.145508,-76.66,21.74,5.88
'Jan/24/23 17.47.33',152.785745,-76.71,21.75,7.21
'Jan/24/23 17.47.34',166.434044,-76.78,22.12,8.75
'Jan/24/23 17.47.35',181.725224,-76.88,22.23,4.03
'Jan/24/23 17.47.36',194.055548,-76.67,22.18,3.63
'Jan/24/23 17.47.37',209.250154,-76.74,23.04,7.18
'Jan/24/23 17.47.38',223.535703,-76.81,22.62,6.18
'Jan/24/23 17.47.39',232.541729,-76.63,22.59,5.64
'Jan/24/23 17.47.40',243.415794,-76.76,23.39,6.37
'Jan/24/23 17.47.41',256.781889,-76.82,23.35,5.03
'Jan/24/23 17.47.42',267.486646,-74.93,24.18,3.4
'Jan/24/23 17.47.43',280.084211,-76.75,23.51,5.48
'Jan/24/23 17.47.44',291.012933,-76.73,22.75,6.27
'Jan/24/23 17.47.45',305.252262,-76.7,23.43,5.97
'Jan/24/23 17.47.46',317.934375,-76.63,21.88,6.39
'Jan/24/23 17.47.47',327.905157,-76.65,22.12,5.95
'Jan/24/23 17.47.48',342.288746,-76.51,22.3,5.45
'Jan/24/23 17.47.49',353.115845,-76.56,22.91,5.49
'Jan/24/23 17.47.50',366.624199,-76.65,22.18,3.88
'Jan/24/23 17.47.51',378.697534,-76.34,21.97,4.39
'Jan/24/23 17.47.52',390.757507,-76.43,23.54,5.37
'Jan/24/23 17.47.53',401.934406,-76.39,23.58,6.35
'Jan/24/23 17.47.54',413.478014,-76.39,22.56,5.65
'Jan/24/23 17.47.55',422.445381,-76.59,22.34,5.48
'Jan/24/23 17.47.56',432.684794,-76.54,22.15,5.63
'Jan/24/23 17.47.57',443.622294,-76.41,23.18,6.05
'Jan/24/23 17.47.58',456.929947,-75.96,23.52,5.68
'Jan/24/23 17.47.59',469.854167,-76.46,23.16,5.58
'Jan/24/23 17.48.00',481.704285,-75.5,24.31,3.03
'Jan/24/23 17.48.01',490.758827,-76.35,22.89,4.18
'Jan/24/23 17.48.02',504.147812,-76.38,22.22,5.62
'Jan/24/23 17.48.03',514.069168,-76.54,22.79,6.32
'Jan/24/23 17.48.04',524.347066,-76.48,23.02,5.38
'Jan/24/23 17.48.05',536.687788,-76.29,22.75,6.38
'Jan/24/23 17.48.06',549.368792,-76.69,22.84,6.72
'Jan/24/23 17.48.07',558.503067,-76.93,23.27,6.48
'Jan/24/23 17.48.08',571.241463,-76.85,23.1,6.18
'Jan/24/23 17.48.09',582.673437,-76.72,23.29,6.39
'Jan/24/23 17.48.10',594.216849,-76.69,22.87,5.12
'Jan/24/23 17.48.11',610.311959,-76.83,23.07,6.12
'Jan/24/23 17.48.12',614.157703,-76.47,23.29,5.98
'Jan/24/23 17.48.13',627.566248,-76.73,22.85,5.37
'Jan/24/23 17.48.14',639.258745,-76.88,22.51,5.61
'Jan/24/23 17.48.15',650.443286,-76.51,22.08,5.27
'Jan/24/23 17.48.16',662.375148,-76.53,23.33,6.15
'Jan/24/23 17.48.17',673.834607,-76.47,22.31,4.95
'Jan/24/23 17.48.18',686.149737,-76.64,22.96,6.49
'Jan/24/23 17.48.19',698.275049,-76.62,22.76,5.83
'Jan/24/23 17.48.20',711.372881,-76.68,23.18,5.38
'Jan/24/23 17.48.21',724.124976,-76.78,23.1,6.48
